,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
E[62],0.7721,0.2981,0.1884,1.3234,0.0038,0.0037,6824.6302,7772.5835,1.0007
E[63],0.7894,0.29,0.2438,1.3576,0.0023,0.0041,15847.9825,8354.9653,1.0017
E[64],0.8729,0.347,0.1908,1.4636,0.013,0.0037,746.0914,3362.2512,1.0056
E[65],0.7114,0.3076,0.1246,1.2948,0.0063,0.0032,2499.1369,7407.7855,1.0014
E[66],0.7601,0.3262,0.1188,1.3159,0.0103,0.0032,1051.1405,5313.1073,1.0033
E[67],-0.5108,0.2926,-1.0642,0.0543,0.0024,0.0037,15422.4567,9680.4201,1.0017
E[68],-0.5107,0.2937,-1.056,0.0687,0.0028,0.0034,10593.7527,9372.9899,1.0023
E[69],-0.5081,0.2881,-1.0628,0.0463,0.0025,0.0039,13646.2061,7689.6912,1.001
E[70],-0.5082,0.2893,-1.064,0.044,0.0026,0.0035,12097.5828,9524.0134,1.002
E[71],-0.5051,0.29,-1.0516,0.0484,0.0027,0.0036,11202.9709,8658.9336,1.0008
E[72],-0.5107,0.2869,-1.0441,0.0357,0.0028,0.0035,10955.9174,10860.3176,1.0008
E[73],-0.5083,0.2892,-1.0542,0.0497,0.0028,0.0037,11261.5882,8215.4222,1.0007
E[74],-0.5092,0.292,-1.0771,0.0379,0.0028,0.0036,10916.871,9942.1731,1.0011
E[75],-0.5106,0.2921,-1.0566,0.0596,0.0027,0.0042,11464.8142,9152.2495,1.0023
E[76],-0.5103,0.2912,-1.0845,0.031,0.0027,0.0039,11938.85,9677.4891,1.0006
E[77],-0.5114,0.2897,-1.0526,0.0513,0.0025,0.0036,13329.05,9799.9488,1.0009
E[78],-0.508,0.2956,-1.0558,0.0725,0.0027,0.0043,12104.7943,8483.6663,1.0022
E[79],-0.5081,0.2899,-1.068,0.0403,0.0026,0.004,12682.6959,9110.1781,1.0009
E[80],-0.5116,0.2886,-1.0426,0.0542,0.0027,0.0035,10898.7528,8928.0991,1.0011
E[81],-0.5118,0.2935,-1.0811,0.051,0.0024,0.0037,14665.004,9595.8092,1.0008
E[82],-0.5074,0.2908,-1.0454,0.0743,0.0025,0.0038,13440.3137,9296.5712,1.0012
E[83],-0.5079,0.2912,-1.0709,0.038,0.0025,0.0039,13519.3185,8299.0157,1.0011
E[84],-0.5108,0.2867,-1.0513,0.0404,0.0026,0.0035,12645.1547,9344.3377,1.0008
E[85],-0.5067,0.2904,-1.0532,0.0614,0.0026,0.0043,12095.7037,7262.3263,1.0019
E[86],-0.5095,0.293,-1.0815,0.0351,0.0026,0.0044,12308.9942,9367.2032,1.0031
E[87],-0.512,0.292,-1.0685,0.0402,0.0025,0.0036,13118.2579,10249.9526,1.0005
E[88],-0.5104,0.2919,-1.0771,0.0457,0.0025,0.0042,14139.472,8688.8748,1.0006
E[89],-0.5137,0.2891,-1.0552,0.0434,0.0025,0.0037,13115.1684,9527.7952,1.0023
E[90],-0.5094,0.2951,-1.0635,0.0697,0.0025,0.004,14006.2705,10132.9839,1.0026
E[91],-0.508,0.2972,-1.0874,0.052,0.0026,0.0039,12972.7335,9568.005,1.0008
E[92],-0.5118,0.2912,-1.045,0.0713,0.0028,0.004,10741.4928,8846.9461,1.0023
E[93],-0.5063,0.2914,-1.04,0.0626,0.0026,0.0039,12679.9957,8875.3211,1.0017
